Date,Price,Volume
2017-10-01,0.02,50068700.00
2017-10-02,0.03,57641300.00
2017-10-03,0.02,16997800.00
2017-10-04,0.02,9000050.00
2017-10-05,0.02,5562510.00
2017-10-06,0.02,7780710.00
2017-10-07,0.02,7411240.00
2017-10-08,0.02,7727460.00
2017-10-09,0.02,4663310.00
2017-10-10,0.02,2725600.00
2017-10-11,0.02,3606720.00
2017-10-12,0.03,8680640.00
2017-10-13,0.03,15613600.00
2017-10-14,0.03,27853200.00
2017-10-15,0.03,7104990.00
2017-10-16,0.03,6196030.00
2017-10-17,0.03,7039900.00
2017-10-18,0.03,2336180.00
2017-10-19,0.03,2897720.00
2017-10-20,0.03,8716410.00
2017-10-21,0.03,5344520.00
2017-10-22,0.03,2930210.00
2017-10-23,0.03,3517050.00
2017-10-24,0.03,7589560.00
2017-10-25,0.03,2561430.00
2017-10-26,0.03,2437710.00
2017-10-27,0.03,2511440.00
2017-10-28,0.03,1739460.00
2017-10-29,0.03,4746180.00
2017-10-30,0.03,3781270.00
2017-10-31,0.03,7304450.00
2017-11-01,0.02,9382780.00
2017-11-02,0.02,6165050.00
2017-11-03,0.02,2836080.00
2017-11-04,0.02,2626920.00
2017-11-05,0.02,2396230.00
2017-11-06,0.02,4591160.00
2017-11-07,0.02,2539540.00
2017-11-08,0.03,6367000.00
2017-11-09,0.03,18716200.00
2017-11-10,0.03,6766780.00
2017-11-11,0.03,5532220.00
2017-11-12,0.02,7280250.00
2017-11-13,0.03,4419440.00
2017-11-14,0.03,3033290.00
2017-11-15,0.03,6858800.00
2017-11-16,0.03,4888130.00
2017-11-17,0.03,3578870.00
2017-11-18,0.03,2930550.00
2017-11-19,0.03,4725050.00
2017-11-20,0.03,16172400.00
2017-11-21,0.03,5836790.00
2017-11-22,0.03,4938480.00
2017-11-23,0.03,5132300.00
2017-11-24,0.03,5502350.00
2017-11-25,0.03,6156460.00
2017-11-26,0.04,30527100.00
2017-11-27,0.05,77777296.00
2017-11-28,0.12,240338000.00
2017-11-29,0.09,210624992.00
2017-11-30,0.12,124345000.00
2017-12-01,0.13,73657600.00
2017-12-02,0.13,56712600.00
2017-12-03,0.13,46458900.00
2017-12-04,0.14,76392704.00
2017-12-05,0.13,50381100.00
2017-12-06,0.12,75688800.00
2017-12-07,0.11,71024600.00
2017-12-08,0.12,70092400.00
2017-12-09,0.12,63308600.00
2017-12-10,0.11,46376600.00
2017-12-11,0.12,39513900.00
2017-12-12,0.13,60056800.00
2017-12-13,0.13,61575000.00
2017-12-14,0.24,309307008.00
2017-12-15,0.21,207311008.00
2017-12-16,0.40,581052032.00
2017-12-17,0.51,628142976.00
2017-12-18,0.52,253463008.00
2017-12-19,0.53,279631008.00
2017-12-20,0.49,182924000.00
2017-12-21,0.48,162926000.00
2017-12-22,0.41,150972992.00
2017-12-23,0.41,88865000.00
2017-12-24,0.39,67372304.00
2017-12-25,0.42,122194000.00
2017-12-26,0.43,94896000.00
2017-12-27,0.41,82067504.00
2017-12-28,0.41,82263800.00
2017-12-29,0.53,266403008.00
2017-12-30,0.64,645155968.00
2017-12-31,0.72,305947008.00
2018-01-01,0.73,150186000.00
2018-01-02,0.78,289712000.00
