Date,Price,Volume
2017-09-02,1.98,55749.40
2017-09-03,1.80,52394.90
2017-09-04,1.62,21581.10
2017-09-05,1.69,19202.80
2017-09-06,1.81,21093.30
2017-09-07,1.85,15010.30
2017-09-08,1.69,3645.78
2017-09-09,1.66,3528.63
2017-09-10,1.63,1558.27
2017-09-11,1.61,1838.49
2017-09-12,1.99,1391.69
2017-09-13,1.52,3400.95
2017-09-14,1.21,845.27
2017-09-15,1.41,3987.67
2017-09-16,1.29,1963.62
2017-09-17,1.43,163.18
2017-09-18,1.64,137.62
2017-09-19,1.53,816.22
2017-09-20,1.42,28.75
2017-09-21,1.38,677.77
2017-09-22,1.39,115.97
2017-09-23,1.51,5332.90
2017-09-24,1.41,80.80
2017-09-25,1.49,1185.39
2017-09-26,1.51,5904.16
2017-09-27,1.55,547.11
2017-09-28,1.66,2987.86
2017-09-29,1.55,734.17
2017-09-30,1.65,3624.79
2017-10-01,1.65,843.04
2017-10-02,1.60,534.26
2017-10-03,1.22,339.24
2017-10-04,1.43,147.47
2017-10-05,1.65,410.70
2017-10-06,1.72,1.54
2017-10-07,1.45,557.38
2017-10-08,1.49,350.59
2017-10-09,1.45,117.89
2017-10-10,1.41,700.89
2017-10-11,1.48,3.03
2017-10-12,1.50,775.65
2017-10-13,1.50,1.35
2017-10-14,1.60,1383.95
2017-10-15,1.58,2746.76
2017-10-16,1.55,2624.65
2017-10-17,1.47,11201.10
2017-10-18,1.52,1524.63
2017-10-19,1.45,3410.98
2017-10-20,1.50,5585.29
2017-10-21,1.44,490.67
2017-10-22,1.46,955.08
2017-10-23,1.44,207.02
2017-10-24,1.51,211.82
2017-10-25,1.40,299.17
2017-10-26,1.42,237.12
2017-10-27,1.47,1141.32
2017-10-28,1.46,951.48
2017-10-29,1.48,5987.94
2017-10-30,1.49,39.25
2017-10-31,1.43,5680.20
2017-11-01,1.42,18600.90
2017-11-02,1.35,7281.56
2017-11-03,1.46,197.46
2017-11-04,1.44,100.07
2017-11-05,1.42,98.30
2017-11-06,1.45,1034.62
2017-11-07,1.43,1049.37
2017-11-08,1.61,2309.41
2017-11-09,1.88,679.71
2017-11-10,1.58,215.92
2017-11-11,1.79,313.95
2017-11-12,1.57,709.24
2017-11-13,1.81,4070.91
2017-11-14,1.94,4777.23
2017-11-15,1.87,205.07
2017-11-16,2.31,1.32
2017-11-17,2.10,587.03
2017-11-18,2.03,377.67
2017-11-19,2.06,2766.24
2017-11-20,2.06,392.47
2017-11-21,2.20,5512.64
2017-11-22,2.43,7538.39
2017-11-23,2.32,4657.20
2017-11-24,2.36,2987.27
2017-11-25,2.46,8406.53
2017-11-26,2.57,6441.28
2017-11-27,2.50,873.83
2017-11-28,2.59,4930.38
2017-11-29,2.45,7073.67
2017-11-30,2.53,2640.40
2017-12-01,2.68,494.18
2017-12-02,2.67,2476.52
2017-12-03,2.82,107.23
2017-12-04,2.98,2849.10
2017-12-05,2.96,1486.07
2017-12-06,2.93,4567.54
2017-12-07,3.02,4020.18
2017-12-08,3.35,8487.14
2017-12-09,3.48,1094.34
2017-12-10,3.06,618.95
2017-12-11,3.62,1618.40
2017-12-12,4.03,6693.12
2017-12-13,3.98,7130.67
2017-12-14,4.09,738.64
2017-12-15,4.10,4639.77
2017-12-16,4.15,1866.23
2017-12-17,4.75,1832.48
2017-12-18,5.45,10464.30
2017-12-19,4.90,15880.50
2017-12-20,5.59,4114.59
2017-12-21,6.23,311.50
2017-12-22,4.39,4760.20
2017-12-23,4.72,2080.00
2017-12-24,5.18,2790.06
2017-12-25,5.10,9880.37
2017-12-26,5.31,1100.94
2017-12-27,5.35,1671.66
2017-12-28,5.13,2093.67
2017-12-29,5.31,2193.50
2017-12-30,4.69,17225.40
2017-12-31,4.90,1354.41
2018-01-01,5.15,2251.68
2018-01-02,5.83,16369.90
2018-01-03,6.17,15426.20
2018-01-04,5.80,2729.04
2018-01-05,5.88,734.52
2018-01-06,6.14,458.03
2018-01-07,7.41,1883.72
2018-01-08,8.43,2736.93
2018-01-09,8.63,4406.72
2018-01-10,6.49,4479.67
2018-01-11,5.90,3100.12
2018-01-12,6.32,1415.13
2018-01-13,6.95,22568.90
2018-01-14,6.24,8406.94
2018-01-15,6.19,375.05
2018-01-16,5.14,311.43
2018-01-17,5.52,474.09
2018-01-18,6.01,1758.70
2018-01-19,5.91,1258.47
2018-01-20,6.30,3116.83
2018-01-21,5.41,539.30
2018-01-22,5.09,673.23
2018-01-23,5.20,2730.72
2018-01-24,5.58,1139.32
2018-01-25,5.56,2341.55
2018-01-26,5.56,190.34
2018-01-27,5.58,2386.70
2018-01-28,6.25,27.11
2018-01-29,4.68,846.53
2018-01-30,4.62,834.96
2018-01-31,5.23,773.34
2018-02-01,4.64,3.09
2018-02-02,3.83,465.32
2018-02-03,4.93,1461.33
2018-02-04,4.29,163.23
2018-02-05,3.65,1400.63
2018-02-06,4.04,2246.90
2018-02-07,3.47,440.28
2018-02-08,3.94,2169.31
2018-02-09,4.25,2108.31
2018-02-10,4.21,2089.85
