Date,Price,Volume
2019-09-20,1.00,255935.71
2019-09-21,1.00,172853.81
2019-09-22,1.00,150590.37
2019-09-23,1.00,1532223.65
2019-09-24,1.01,4110760.85
2019-09-25,1.01,909107.96
2019-09-26,1.01,1413786.84
2019-09-27,1.01,443785.39
2019-09-28,1.00,366418.24
2019-09-29,1.00,269667.40
2019-09-30,1.00,756624.97
2019-10-01,1.00,886134.45
2019-10-02,1.00,570248.16
2019-10-03,1.00,416832.15
2019-10-04,1.00,138481.12
2019-10-05,1.00,147864.56
2019-10-06,1.01,349256.00
2019-10-07,1.00,693686.52
2019-10-08,1.01,643229.98
2019-10-09,1.00,3360167.33
2019-10-10,1.00,508887.77
2019-10-11,1.01,1670363.15
2019-10-12,1.00,1919848.40
2019-10-13,1.00,2979555.22
2019-10-14,1.00,3424847.02
2019-10-15,1.00,4316437.71
2019-10-16,1.01,9845326.27
2019-10-17,1.00,10052146.49
2019-10-18,1.00,11230516.61
2019-10-19,1.01,13314757.08
2019-10-20,1.00,11806044.70
2019-10-21,1.00,3976648.07
2019-10-22,1.00,4428319.41
2019-10-23,1.00,7844524.29
2019-10-24,1.01,5361020.09
2019-10-25,1.00,14491067.15
2019-10-26,1.00,28625934.68
2019-10-27,1.00,16315121.03
2019-10-28,1.00,12768180.46
2019-10-29,1.00,14996154.12
2019-10-30,1.00,11523465.57
2019-10-31,1.01,11429912.38
2019-11-01,1.00,10590524.53
2019-11-02,1.00,6822583.71
2019-11-03,1.00,6689843.97
2019-11-04,1.00,16579981.68
2019-11-05,1.00,17643924.50
2019-11-06,1.00,12042602.70
2019-11-07,1.01,10929253.93
2019-11-08,1.00,11568855.89
2019-11-09,1.00,6052520.35
2019-11-10,1.00,6074827.74
2019-11-11,1.00,7770678.67
2019-11-12,1.00,9199640.69
2019-11-13,1.00,6501847.25
2019-11-14,1.01,5855611.45
2019-11-15,1.00,6591006.37
2019-11-16,1.01,3389577.73
2019-11-17,1.01,4966171.50
2019-11-18,1.01,7750969.63
2019-11-19,1.01,6171727.82
2019-11-20,1.01,4228836.20
2019-11-21,1.00,8751185.24
2019-11-22,1.00,17001241.81
2019-11-23,1.01,9056765.16
2019-11-24,1.02,15997568.04
2019-11-25,1.00,11044638.52
2019-11-26,1.01,6040980.02
2019-11-27,1.00,9622841.29
2019-11-28,1.00,8198705.05
2019-11-29,1.00,9195671.73
2019-11-30,1.00,4949503.32
2019-12-01,1.00,10456833.97
2019-12-02,1.00,6672170.69
2019-12-03,1.00,5369514.91
2019-12-04,1.01,12884312.20
2019-12-05,1.01,9000321.28
2019-12-06,1.00,8264418.36
2019-12-07,1.01,4377175.36
2019-12-08,1.01,4008906.58
2019-12-09,1.01,7498093.45
2019-12-10,1.01,7219152.16
2019-12-11,1.00,5187924.13
2019-12-12,1.01,6170780.64
2019-12-13,1.00,6858501.84
2019-12-14,1.01,7421903.13
2019-12-15,1.01,5619519.35
2019-12-16,1.01,7574217.36
2019-12-17,1.00,11708182.83
2019-12-18,1.00,18504667.35
2019-12-19,1.01,8421537.72
2019-12-20,1.01,6600190.45
2019-12-21,1.01,4018127.18
2019-12-23,1.00,11438540.69
2019-12-24,1.01,8191048.13
2019-12-25,1.01,4813419.70
2019-12-26,1.01,5945002.09
2019-12-27,1.01,3979283.45
2019-12-28,1.00,3228214.35
2019-12-29,1.00,4262470.09
2019-12-30,1.01,4002994.87
2019-12-31,1.00,2980268.89
2020-01-01,1.00,1695088.08
2020-01-02,1.00,4504462.38
2020-01-03,1.00,9269972.15
2020-01-04,1.01,5469981.37
2020-01-05,1.01,6417221.16
2020-01-06,1.00,9634691.37
2020-01-07,1.00,17377526.79
2020-01-08,1.01,19895939.25
2020-01-09,1.01,10999843.30
2020-01-10,1.00,16874484.75
2020-01-11,1.00,10377786.43
2020-01-12,1.00,8552238.70
2020-01-13,1.00,6559770.66
2020-01-14,1.00,31457555.68
2020-01-15,1.00,24048475.52
2020-01-16,1.00,14683140.18
2020-01-17,1.00,27046579.49
2020-01-18,1.00,20869912.60
2020-01-19,1.00,21625113.68
2020-01-20,1.00,13827741.45
2020-01-21,1.00,15017622.33
2020-01-22,1.00,10200443.83
2020-01-23,1.00,19562229.53
2020-01-24,1.00,18332840.00
2020-01-25,1.00,13426613.74
2020-01-26,1.00,14099450.80
2020-01-27,1.00,19779988.39
2020-01-28,1.00,25015027.93
2020-01-29,1.00,20810480.07
2020-01-30,1.00,20571219.87
2020-01-31,1.00,19372175.38
2020-02-01,1.00,19905598.33
2020-02-02,1.00,23738386.88
2020-02-03,1.00,24232653.19
2020-02-04,1.00,25402602.86
2020-02-05,1.00,41115461.08
2020-02-06,1.00,37487335.00
2020-02-07,1.00,37358541.19
2020-02-08,1.00,40521021.31
2020-02-09,1.00,40179288.24
2020-02-10,1.00,56079122.49
2020-02-11,0.99,64162627.15
2020-02-12,1.00,74523687.11
2020-02-13,1.00,75389063.22
2020-02-14,1.00,52949334.89
2020-02-15,1.00,57484569.29
2020-02-16,1.00,77810565.82
2020-02-17,1.00,89466649.07
2020-02-18,1.00,68449917.59
2020-02-19,1.00,55716985.84
2020-02-20,1.00,63000775.20
2020-02-21,1.00,48193092.97
2020-02-22,1.00,33343407.57
2020-02-23,1.00,47554548.26
2020-02-24,1.00,74632018.02
2020-02-25,1.00,79803020.06
2020-02-26,1.00,110580685.32
2020-02-27,1.00,90416238.23
2020-02-28,1.00,81811416.19
2020-02-29,1.01,49487942.03
2020-03-01,1.00,64993871.01
2020-03-02,0.99,67575720.02
2020-03-03,1.00,65176961.45
2020-03-04,1.00,48772164.86
2020-03-05,1.00,72803378.65
2020-03-06,1.00,72221144.71
2020-03-07,1.00,58114947.14
2020-03-08,1.01,129473377.64
2020-03-09,1.00,168888966.32
2020-03-10,1.00,99168053.62
2020-03-11,1.00,90540790.23
2020-03-12,1.05,249341371.67
2020-03-13,0.99,215529294.43
2020-03-14,1.00,105289887.93
2020-03-15,1.01,96536863.67
2020-03-16,1.00,148465194.02
2020-03-17,0.97,107386210.18
2020-03-18,0.97,105283008.36
2020-03-19,1.00,141466501.70
2020-03-20,1.00,176403806.94
2020-03-22,1.00,121270445.25
2020-03-23,0.99,121023306.71
2020-03-24,1.00,99093903.11
2020-03-25,1.00,90639779.49
2020-03-26,1.00,74199138.60
2020-03-27,1.01,70294392.69
2020-03-28,1.00,68505071.35
2020-03-29,1.00,44100588.92
2020-03-30,1.00,72482030.65
2020-03-31,1.00,58324657.99
2020-04-01,1.00,64274301.52
2020-04-02,1.00,100717270.28
2020-04-03,1.00,92076643.26
2020-04-04,1.00,66737131.91
2020-04-05,1.00,46929577.23
2020-04-06,0.99,98264161.50
2020-04-07,1.00,90899396.03
2020-04-08,1.00,67314271.04
2020-04-09,1.00,53788329.80
2020-04-10,1.00,106680605.23
2020-04-11,1.00,48812274.90
2020-04-12,1.01,58195873.41
2020-04-13,1.00,84118901.33
2020-04-14,1.00,59705182.13
2020-04-15,1.00,64164215.61
2020-04-16,1.00,109866330.47
2020-04-17,1.01,55237064.61
2020-04-18,1.00,50662858.97
2020-04-19,1.01,52835634.03
2020-04-20,1.00,77448180.58
2020-04-21,1.00,63873327.36
2020-04-22,1.00,60364658.18
2020-04-23,1.00,114030200.26
2020-04-24,1.01,81000652.95
2020-04-25,1.00,54025403.90
2020-04-26,1.00,61895944.55
2020-04-27,1.00,73323750.94
2020-04-28,1.01,62625586.69
2020-04-29,1.00,182865397.00
2020-04-30,1.00,205768549.36
2020-05-01,1.01,129957876.43
2020-05-02,1.00,68519405.46
2020-05-03,1.00,105447159.14
2020-05-04,1.00,108608683.52
2020-05-05,1.00,88205406.55
2020-05-06,1.01,109374936.16
2020-05-07,1.00,141005737.96
2020-05-08,1.00,120005852.05
2020-05-09,1.00,102022505.39
2020-05-10,1.00,256183962.62
2020-05-11,1.00,172646715.95
2020-05-12,1.00,88961029.23
2020-05-13,1.00,85424256.84
2020-05-14,1.00,130241999.27
2020-05-15,1.00,124328578.02
2020-05-16,1.00,84494294.23
2020-05-17,1.00,104868289.15
2020-05-18,1.00,145499629.83
2020-05-19,0.99,174280923.40
2020-05-20,1.00,176386517.94
2020-05-21,1.00,223769582.87
2020-05-22,1.00,99473389.04
2020-05-23,1.01,59984119.59
2020-05-24,1.00,87209059.82
2020-05-25,1.00,89994056.00
2020-05-26,1.00,78743863.61
2020-05-27,1.00,86406351.38
2020-05-28,1.00,108451133.02
2020-05-29,1.00,90831075.55
2020-05-30,1.00,94552611.87
2020-05-31,1.00,94608975.38
2020-06-01,1.00,130900866.91
2020-06-02,1.00,235279524.75
2020-06-03,1.00,96861625.39
2020-06-04,1.00,114904656.85
2020-06-05,1.00,89279305.77
2020-06-06,1.00,67403235.80
2020-06-07,1.00,91622053.89
2020-06-08,1.00,63073913.21
2020-06-09,1.00,80453538.01
2020-06-10,1.00,71379554.82
2020-06-11,1.00,149684453.97
2020-06-12,1.00,64389074.62
2020-06-13,1.00,51279966.11
2020-06-14,1.01,47429350.22
2020-06-15,1.00,133415251.08
2020-06-16,1.00,68878900.38
2020-06-17,1.00,76040317.61
2020-06-18,1.00,66638964.27
2020-06-20,1.00,71262411.47
2020-06-21,1.00,56186653.47
2020-06-22,1.00,77519287.60
2020-06-23,1.00,73233696.18
2020-06-24,1.00,100630843.13
2020-06-25,1.00,78453298.04
2020-06-26,1.00,87592249.26
2020-06-27,1.00,70912191.69
2020-06-28,1.00,48029896.74
2020-06-29,1.00,70791989.83
2020-06-30,1.00,54013006.76
2020-07-01,1.00,66671207.99
2020-07-02,1.01,79129545.17
2020-07-03,1.00,51715952.37
2020-07-04,1.00,45757778.57
2020-07-05,1.00,55752835.00
2020-07-06,1.00,86202632.15
2020-07-07,1.00,75741747.71
2020-07-08,1.00,107483663.88
2020-07-09,1.00,95833005.66
2020-07-10,1.00,86877416.78
2020-07-11,1.00,51805205.38
2020-07-12,1.00,69007016.47
2020-07-13,1.00,103104350.90
2020-07-14,1.00,86627267.27
2020-07-15,1.00,82632174.36
2020-07-16,1.00,96506702.57
2020-07-17,1.00,69362761.26
2020-07-18,1.00,66264051.96
2020-07-19,1.00,76188738.60
2020-07-20,1.00,94906003.05
2020-07-21,1.00,110789521.85
2020-07-22,1.00,113190060.93
2020-07-23,1.00,150262467.71
2020-07-24,1.00,139039840.40
2020-07-25,1.00,139749012.59
2020-07-26,1.00,214108863.74
2020-07-27,1.00,419070539.98
2020-07-28,1.00,294582739.33
2020-07-29,1.00,202792975.53
2020-07-30,1.00,229718535.97
2020-07-31,1.00,219408394.63
2020-08-01,1.00,313964253.19
2020-08-02,1.00,365258662.26
2020-08-03,1.00,208149186.89
2020-08-04,1.00,229722056.67
2020-08-05,1.00,253954992.18
2020-08-06,1.00,225337053.48
2020-08-07,1.00,232263398.30
2020-08-08,1.00,159077037.82
2020-08-09,1.00,181087677.63
2020-08-10,1.00,238444026.62
2020-08-11,1.00,289207890.22
2020-08-12,1.01,248734352.32
2020-08-13,1.01,308265167.38
2020-08-14,1.00,261111752.25
2020-08-15,1.00,250365386.45
