Date,Price,Volume
2020-08-20,2.90,48819867.35
2020-08-21,2.88,49313136.83
2020-08-22,4.48,485801095.85
2020-08-23,3.97,320749483.24
2020-08-24,4.60,407690170.88
2020-08-25,5.52,898847538.46
2020-08-26,6.08,1054351759.40
2020-08-27,5.63,1289248953.26
2020-08-28,6.16,727162235.01
2020-08-29,6.16,527290028.29
2020-08-30,5.87,485335136.16
2020-08-31,6.30,512604781.46
2020-09-01,6.29,601527408.60
2020-09-02,6.14,584155027.67
2020-09-03,5.75,763663456.73
2020-09-04,5.15,845787793.24
2020-09-05,4.12,805800384.88
2020-09-06,4.80,924160481.88
2020-09-07,4.59,675375182.71
2020-09-08,4.27,519440288.07
2020-09-09,4.71,534097093.86
2020-09-10,4.58,633577673.91
2020-09-11,4.65,633472139.87
2020-09-12,5.14,753745736.55
2020-09-13,5.30,1099475714.13
2020-09-14,5.35,1008259712.12
2020-09-15,5.10,897864383.94
2020-09-16,5.08,792360520.60
2020-09-17,5.34,776350363.03
2020-09-18,5.25,683398179.63
2020-09-19,4.93,605268040.06
2020-09-20,4.67,798507890.72
2020-09-21,4.09,1096736656.95
2020-09-22,4.17,673117343.73
2020-09-23,4.03,557062766.18
2020-09-24,4.38,437573445.65
2020-09-25,4.42,425191119.26
2020-09-26,4.35,329745176.11
2020-09-27,4.31,316361927.42
2020-09-28,4.40,543507456.46
2020-09-29,4.50,508965929.31
2020-09-30,4.35,378446619.74
2020-10-01,4.34,445143707.89
2020-10-02,4.12,554916297.43
2020-10-03,4.07,361964763.25
2020-10-04,4.17,286356968.57
2020-10-05,4.17,332264663.82
2020-10-06,3.76,662270710.92
2020-10-07,3.86,629063455.77
2020-10-08,4.10,614223110.62
2020-10-09,4.26,491506581.93
2020-10-10,4.25,492038159.22
2020-10-11,4.26,388098954.95
2020-10-12,4.32,489608532.22
2020-10-13,4.25,420659946.98
2020-10-14,4.20,520198619.35
2020-10-15,4.10,450623089.48
2020-10-16,3.91,443295515.20
2020-10-17,3.97,206453737.73
2020-10-18,4.10,204108300.39
2020-10-19,3.99,249983724.99
2020-10-20,3.91,502694692.76
2020-10-21,4.14,458018406.60
2020-10-22,4.27,367309225.34
2020-10-23,4.27,461816707.97
2020-10-24,4.36,310306551.71
2020-10-25,4.34,339106539.27
2020-10-26,4.73,722990809.79
2020-10-27,4.68,820401908.66
2020-10-28,4.37,649971737.96
2020-10-29,4.05,686597328.92
2020-10-30,4.09,586577443.26
2020-10-31,4.18,318678917.38
2020-11-01,4.23,302861123.82
2020-11-02,4.03,503474044.38
2020-11-03,4.03,413471120.90
2020-11-04,4.10,836536271.60
2020-11-05,4.24,375265287.20
2020-11-06,4.58,463200955.90
2020-11-07,4.24,724809168.16
2020-11-08,4.37,393903989.85
2020-11-09,4.35,396903279.90
2020-11-10,4.42,379322634.34
2020-11-11,4.46,404513889.77
2020-11-12,4.40,367161906.86
2020-11-13,4.54,342519103.48
2020-11-14,4.47,331350626.87
2020-11-15,4.38,325439057.72
2020-11-16,4.49,445672647.83
2020-11-17,4.84,675069949.40
2020-11-18,4.68,671452167.68
2020-11-19,4.76,551607999.49
2020-11-20,5.23,1027776286.04
2020-11-21,5.75,1022750932.39
2020-11-22,5.48,1048639985.99
2020-11-23,5.91,997956276.72
2020-11-24,5.73,1113438978.17
2020-11-25,5.31,1011116413.65
2020-11-26,4.80,1433368624.70
2020-11-27,4.78,864684858.25
2020-11-28,4.90,415083876.40
2020-11-29,5.19,451787953.60
2020-11-30,5.38,649773393.12
2020-12-01,5.09,777715514.44
2020-12-02,5.46,607216780.30
2020-12-03,5.41,354593131.06
2020-12-04,5.03,422944392.06
2020-12-05,5.19,408952852.10
2020-12-06,5.14,299285627.20
2020-12-07,5.06,242900962.49
2020-12-08,4.73,398505416.95
2020-12-09,4.86,477599466.19
2020-12-10,4.80,299121449.43
2020-12-11,4.62,366039075.41
2020-12-12,4.74,282782417.00
2020-12-13,4.89,280953203.62
2020-12-14,4.90,204385756.68
2020-12-15,5.25,354033041.74
2020-12-16,5.36,508481878.40
2020-12-17,5.34,863948411.77
2020-12-18,5.37,607402855.88
2020-12-19,5.34,517648631.33
2020-12-20,5.19,519415555.21
2020-12-21,4.89,665375357.69
2020-12-22,5.15,697260531.84
2020-12-23,4.71,665441294.88
2020-12-24,5.13,646511051.10
2020-12-25,5.21,512565394.40
2020-12-26,5.18,484934517.56
2020-12-27,5.14,784179880.73
2020-12-28,6.59,1746628677.33
2020-12-29,7.52,2717983832.26
2020-12-30,7.25,2059017628.59
2020-12-31,9.29,2751292066.54
2021-01-01,8.31,2791211123.45
2021-01-02,9.21,3049232406.88
2021-01-03,10.03,3032883074.26
2021-01-04,9.47,2893262629.71
2021-01-05,9.70,2080742171.36
2021-01-06,10.10,2382484174.70
2021-01-07,9.64,2521342760.53
