Date,Price,Volume
2018-10-08,1.00,382900.00
2018-10-09,1.01,108803.00
2018-10-10,1.01,711783.00
2018-10-11,1.01,4177290.00
2018-10-12,1.01,1322240.00
2018-10-13,1.01,698507.00
2018-10-14,1.02,982750.00
2018-10-15,1.03,10660400.00
2018-10-16,1.02,2124080.00
2018-10-17,1.01,1102740.00
2018-10-18,1.01,1182450.00
2018-10-19,1.01,715078.00
2018-10-20,1.01,299871.00
2018-10-21,1.01,509276.00
2018-10-22,1.01,1211160.00
2018-10-23,1.01,1503840.00
2018-10-24,1.01,923940.00
2018-10-25,1.01,1365520.00
2018-10-26,1.01,950623.00
2018-10-27,1.01,712963.00
2018-10-28,1.01,282707.00
2018-10-29,1.01,1983680.00
2018-10-30,1.00,715882.00
2018-10-31,1.00,1279360.00
2018-11-01,0.99,1800480.00
2018-11-02,1.00,2042390.00
2018-11-03,1.00,1402480.00
2018-11-04,1.00,2144200.00
2018-11-05,1.00,1287400.00
2018-11-06,1.00,2241070.00
2018-11-07,1.00,2589880.00
2018-11-08,1.00,3423190.00
2018-11-09,1.01,3478250.00
2018-11-10,1.01,2497760.00
2018-11-11,1.01,4726130.00
2018-11-12,1.01,6446540.00
2018-11-13,1.01,6483310.00
2018-11-14,1.02,24013300.00
2018-11-15,1.02,18776600.00
2018-11-16,1.03,9247040.00
2018-11-17,1.01,5537380.00
2018-11-18,1.01,5735460.00
2018-11-19,1.02,27873100.00
2018-11-20,1.02,43293600.00
2018-11-21,1.01,20164000.00
2018-11-22,1.02,11556600.00
2018-11-23,1.02,17717500.00
2018-11-24,1.02,19409700.00
2018-11-25,1.03,23476200.00
2018-11-26,1.04,29734800.00
2018-11-27,1.01,13622700.00
2018-11-28,1.01,23327400.00
2018-11-29,1.01,18025473.45
2018-11-30,1.01,14143220.53
2018-12-01,1.01,14198648.63
2018-12-02,1.01,10761894.92
2018-12-03,1.01,12188098.38
2018-12-04,1.01,12556999.26
2018-12-05,1.01,14257800.15
2018-12-06,1.02,21637768.21
2018-12-07,1.01,29947363.40
2018-12-08,1.02,17724713.57
2018-12-09,1.02,14831258.81
2018-12-10,1.02,12987867.68
2018-12-11,1.02,12104530.97
2018-12-12,1.02,10392692.95
2018-12-13,1.02,8569160.37
2018-12-14,1.02,11571583.57
2018-12-15,1.00,8595918.52
2018-12-16,1.01,9383751.11
2018-12-17,1.01,18392474.95
2018-12-18,1.01,24572396.14
2018-12-19,1.02,46352135.20
2018-12-20,1.02,58976757.96
2018-12-21,1.02,46603503.79
2018-12-22,1.01,26222949.62
2018-12-23,1.01,23629167.73
2018-12-24,1.01,43621600.96
2018-12-25,1.01,27610568.77
2018-12-26,1.01,19786403.06
2018-12-27,1.02,23019282.06
2018-12-28,1.01,28974097.70
2018-12-29,1.02,22783697.10
2018-12-30,1.01,18537225.10
2018-12-31,1.02,20975704.09
2019-01-01,1.01,17007852.85
2019-01-02,1.02,18125812.40
2019-01-03,1.01,15279811.12
2019-01-04,1.01,17203035.97
2019-01-05,1.01,15428171.05
2019-01-06,1.01,18503989.00
2019-01-07,1.01,18697630.36
2019-01-08,1.01,23189996.46
2019-01-09,1.00,23000567.44
2019-01-10,1.01,51534670.43
2019-01-11,1.01,25279714.61
2019-01-12,1.01,12617410.29
2019-01-13,1.01,16808894.46
2019-01-14,1.01,25825886.26
2019-01-15,1.01,26459207.48
2019-01-16,1.01,25957205.83
2019-01-17,1.03,41708422.16
2019-01-18,1.01,18899249.35
2019-01-19,1.01,15830399.92
2019-01-20,1.02,14934092.26
2019-01-21,1.01,12277261.23
2019-01-22,1.01,18848807.08
2019-01-23,1.01,14686835.44
2019-01-24,1.01,19309436.87
2019-01-25,1.01,16078526.37
2019-01-26,1.01,12311593.21
2019-01-27,1.01,17334193.18
2019-01-28,1.01,34421447.68
2019-01-29,1.01,26620697.75
2019-01-30,1.01,28233800.64
2019-01-31,1.01,30016994.15
2019-02-01,1.02,26896946.93
2019-02-02,1.02,23207115.11
2019-02-03,1.01,26365349.13
2019-02-04,1.01,24242526.29
2019-02-05,1.01,19011789.13
2019-02-06,1.01,27032563.55
2019-02-07,1.01,15429983.01
2019-02-08,1.02,31291520.50
2019-02-09,1.01,21523061.70
2019-02-10,1.01,19451267.76
2019-02-11,1.01,19063317.98
2019-02-12,1.02,28682062.69
2019-02-13,1.01,27483515.31
2019-02-14,1.01,27582140.32
2019-02-15,1.01,35775279.33
2019-02-16,1.01,44255528.91
2019-02-17,1.02,45168007.38
2019-02-18,1.01,51464755.69
2019-02-19,1.00,49393554.14
2019-02-20,1.02,41527390.05
2019-02-21,1.01,35317064.40
2019-02-22,1.02,32159402.80
2019-02-23,1.01,36243964.42
2019-02-24,1.01,51756152.33
2019-02-25,1.02,52796840.54
2019-02-26,1.01,42569527.34
2019-02-27,1.02,38328217.02
2019-02-28,1.01,31630078.72
2019-03-01,1.01,21097111.03
2019-03-02,1.01,18482080.16
2019-03-03,1.01,17429846.13
2019-03-04,1.02,23960578.28
2019-03-05,1.02,32016571.09
2019-03-06,1.01,24347411.62
2019-03-07,1.01,24225453.64
2019-03-08,1.01,27535813.11
2019-03-09,1.01,24550954.45
2019-03-10,1.02,21622741.99
2019-03-11,1.01,25473881.33
2019-03-12,1.01,25249458.00
2019-03-13,1.01,32955077.63
2019-03-14,1.02,30654410.79
2019-03-15,1.02,30356978.95
2019-03-16,1.02,35637111.88
2019-03-17,1.02,38655613.79
2019-03-18,1.02,41889761.44
2019-03-19,1.02,34394866.81
2019-03-20,1.01,43164010.90
2019-03-21,1.01,43135934.50
2019-03-22,1.01,33465329.21
2019-03-23,1.01,23348602.35
2019-03-24,1.01,17336323.60
2019-03-25,1.01,34431702.84
2019-03-26,1.01,33876853.67
2019-03-27,1.02,37698423.02
2019-03-28,1.01,28392575.82
2019-03-29,1.00,37377860.59
2019-03-30,1.00,26227080.53
2019-03-31,1.00,24262614.98
2019-04-01,1.00,30912903.48
2019-04-02,1.00,75355543.16
2019-04-03,1.00,87987039.89
2019-04-04,1.00,52686901.66
2019-04-05,1.00,43799308.24
2019-04-06,1.00,43756480.94
2019-04-07,1.01,43184041.91
2019-04-08,1.00,49978404.90
2019-04-09,1.00,40372953.85
2019-04-10,1.00,48590445.31
2019-04-11,1.00,63695456.70
2019-04-12,1.00,44545387.02
2019-04-13,1.00,35520364.68
2019-04-14,1.01,31692817.87
2019-04-15,1.00,44283943.10
2019-04-16,1.01,31481366.08
2019-04-17,1.01,32737398.05
2019-04-18,1.00,41597044.06
2019-04-19,1.00,34134430.34
2019-04-20,1.00,39216249.89
2019-04-21,1.00,46250000.34
2019-04-22,1.00,46697245.33
2019-04-23,1.00,55954909.01
2019-04-24,1.00,56853284.87
2019-04-25,1.01,82371631.33
2019-04-26,1.02,113370626.10
2019-04-27,1.01,48849897.87
2019-04-28,1.02,44378358.83
2019-04-29,1.02,71768244.49
2019-04-30,1.02,81415438.18
2019-05-01,1.01,90100966.58
2019-05-02,1.02,83209786.83
2019-05-03,1.02,108921202.74
2019-05-04,1.01,117381605.34
2019-05-05,1.01,79929580.93
2019-05-06,1.01,89601154.98
2019-05-07,1.01,100559474.86
2019-05-08,1.01,99486107.59
2019-05-09,1.00,134758322.61
2019-05-10,1.01,247829263.91
2019-05-11,1.00,510302993.19
2019-05-12,1.00,481377527.13
2019-05-13,1.00,268233282.70
2019-05-14,1.00,235041654.05
2019-05-15,1.00,217410064.32
2019-05-16,1.00,289789111.44
2019-05-17,1.00,293691287.78
2019-05-18,1.00,154811621.57
2019-05-19,1.00,184721780.03
2019-05-20,1.00,276118419.66
2019-05-21,1.00,170890834.54
2019-05-22,1.00,125174451.66
2019-05-23,1.00,129739544.31
2019-05-24,1.00,148518446.16
2019-05-25,1.00,95403890.68
2019-05-26,1.00,132653002.58
2019-05-27,1.00,157886327.55
2019-05-28,1.01,106019350.70
2019-05-29,1.00,115843795.68
2019-05-30,1.00,169319400.77
2019-05-31,1.00,98020521.22
2019-06-01,1.00,70583906.85
2019-06-02,1.00,80548186.78
2019-06-03,1.00,111821197.85
2019-06-04,1.00,136428048.89
2019-06-05,1.00,93861384.74
2019-06-06,1.00,85196343.99
2019-06-07,1.00,86557460.43
2019-06-08,0.99,58308367.74
2019-06-09,1.00,71761740.42
2019-06-10,1.00,84730094.77
2019-06-11,1.00,77849491.81
2019-06-12,1.00,104507306.12
2019-06-13,1.00,100661027.28
2019-06-14,1.00,102745227.14
2019-06-15,1.00,74693218.47
2019-06-16,1.00,110310160.03
2019-06-17,1.00,109557093.85
2019-06-18,1.00,100022653.05
2019-06-19,1.00,76300038.03
2019-06-20,1.00,119884298.54
2019-06-21,1.00,112588158.64
2019-06-22,1.00,198318683.89
2019-06-23,1.00,126408036.59
2019-06-24,1.00,146462988.41
2019-06-26,1.00,301891500.61
2019-06-27,1.00,270933375.23
2019-06-28,1.00,222978119.78
2019-06-29,1.00,204845657.22
2019-06-30,1.00,184930416.33
2019-07-01,1.00,180323705.36
2019-07-02,1.00,197506894.28
2019-07-03,1.00,187818875.70
2019-07-04,1.00,157145205.07
2019-07-05,1.00,105604888.66
2019-07-06,1.00,95844874.40
2019-07-07,1.00,79091528.78
2019-07-08,1.00,122496181.20
2019-07-09,1.00,164588272.51
2019-07-10,1.00,190158658.01
2019-07-11,1.00,178747822.01
2019-07-12,1.00,135296873.93
2019-07-13,1.00,95762367.26
2019-07-14,1.00,106041670.09
2019-07-15,1.00,138049441.08
2019-07-16,1.00,184923693.28
2019-07-17,1.00,162980967.54
2019-07-18,1.00,170055528.84
2019-07-19,1.00,123323972.39
2019-07-20,1.00,97823105.81
2019-07-21,1.00,77161429.19
2019-07-22,1.00,84139079.04
2019-07-23,1.00,76690056.52
2019-07-24,1.00,81723547.61
2019-07-25,1.00,94853818.69
2019-07-26,1.00,65047969.77
2019-07-27,1.00,112409399.79
2019-07-28,1.00,61030065.61
2019-07-29,1.00,64034828.83
2019-07-30,1.00,72740002.88
2019-07-31,1.00,76363106.61
2019-08-01,1.00,90755236.42
2019-08-02,1.00,108695095.99
2019-08-03,1.00,139947811.68
2019-08-04,1.00,105761004.19
2019-08-05,1.00,343644658.67
2019-08-06,1.00,149803388.30
2019-08-07,1.00,133917478.70
2019-08-08,1.00,107836436.03
2019-08-09,1.00,86084348.81
2019-08-10,1.00,121464046.53
2019-08-11,1.00,88725827.67
2019-08-12,1.00,101717902.51
2019-08-13,1.00,106639934.00
2019-08-14,1.00,155009809.65
2019-08-15,1.00,139392935.73
2019-08-16,1.00,125713021.30
2019-08-17,1.00,87160072.31
2019-08-18,1.00,84496696.98
2019-08-19,1.00,110441849.34
2019-08-20,1.00,95290235.51
2019-08-21,1.00,140393307.75
2019-08-22,1.00,161974031.00
2019-08-23,1.00,166459701.17
2019-08-24,1.00,148820459.67
2019-08-25,1.00,155556320.15
2019-08-26,1.00,188397602.42
2019-08-27,1.00,134282531.04
2019-08-28,1.00,167046463.74
2019-08-29,1.00,148444116.19
2019-08-30,1.00,118556192.96
2019-08-31,1.00,88557732.51
