Date,Price,Volume
2015-02-25,1.21,5.98
2015-02-26,1.21,5.96
2015-03-02,0.61,3.03
2015-03-03,0.61,3.03
2015-03-06,1.00,92.65
2015-03-07,1.00,58196.80
2015-03-08,1.00,31.14
2015-03-09,1.00,143.00
2015-03-10,1.00,49996.70
2015-03-11,1.00,49.31
2015-03-12,1.00,80418.30
2015-03-13,1.00,75.28
2015-03-14,1.00,17705.10
2015-03-15,1.00,15124.50
2015-03-16,1.00,49631.50
2015-03-17,1.00,4284.02
2015-03-18,1.00,202.34
2015-03-19,1.00,713.95
2015-03-20,1.00,132.73
2015-03-21,1.00,206.27
2015-03-22,1.00,66.68
2015-03-23,1.00,65.84
2015-03-24,1.00,1179.44
2015-03-25,1.00,92.35
2015-03-26,1.00,2.31
2015-03-27,1.00,4.79
2015-03-28,1.00,17.04
2015-03-29,1.00,20.64
2015-03-30,1.00,494.70
2015-03-31,1.00,37.05
2015-04-01,1.00,14.49
2015-04-02,1.00,79969.90
2015-04-03,1.00,8887.17
2015-04-04,1.00,2018.25
2015-04-05,1.00,2887.05
2015-04-06,1.00,254.30
2015-04-07,1.00,19179.00
2015-04-08,1.00,1024.20
2015-04-09,1.00,100949.00
2015-04-10,1.00,470.23
2015-04-11,1.00,2868.80
2015-04-12,1.00,1970.79
2015-04-13,1.00,46026.00
2015-04-14,1.00,50323.80
2015-04-15,1.00,40700.20
2015-04-16,1.00,46909.20
2015-04-18,1.00,48.97
2015-04-19,1.00,21.93
2015-04-20,1.00,38.26
2015-04-21,1.00,85932.70
2015-04-22,1.00,40305.60
2015-04-23,1.00,21632.00
2015-04-24,1.00,20261.80
2015-04-25,1.00,26.46
2015-04-26,1.00,555.44
2015-04-27,1.00,17806.20
2015-04-28,1.00,42628.10
2015-04-29,1.00,12.19
2015-04-30,1.00,613.07
2015-05-01,1.00,48.38
2015-05-02,1.00,3.99
2015-05-03,1.00,1517.87
2015-05-04,1.00,83170.80
2015-05-05,1.00,21.43
2015-05-06,1.00,10.19
2015-05-07,1.00,120.48
2015-05-08,1.00,545.50
2015-05-09,1.00,170.77
2015-05-10,1.00,2466.13
2015-05-11,1.00,583.83
2015-05-12,1.00,5.22
2015-05-13,1.00,0.11
2015-05-14,1.00,2184.61
2015-05-15,1.00,92.12
2015-05-16,1.00,297.45
2015-05-17,1.00,682.92
2015-05-18,1.00,31.39
2015-05-19,1.00,25358.70
2015-05-20,1.00,21978.90
2015-05-21,1.00,53849.10
2015-05-22,1.00,20209.30
2015-05-23,1.00,30.02
2015-05-24,1.00,5381.64
2015-05-25,1.00,2845.86
2015-05-26,1.00,1243.75
2015-05-27,1.00,28001.70
2015-05-28,1.00,70611.50
2015-05-29,1.00,16640.40
2015-05-30,1.00,12447.90
2015-05-31,1.00,2522.38
2015-06-01,1.00,40887.40
2015-06-02,1.00,75455.70
2015-06-03,1.00,24994.20
2015-06-04,1.00,151.84
2015-06-05,1.00,21.51
2015-06-06,1.00,30.22
2015-06-07,1.00,1547.45
2015-06-08,1.00,126.16
2015-06-09,1.00,323.21
2015-06-10,1.00,45550.90
2015-06-11,1.00,50162.40
2015-06-12,1.00,41981.00
2015-06-13,1.00,1635.93
2015-06-14,1.00,1348.71
2015-06-15,1.00,262077.00
2015-06-16,1.00,204282.00
2015-06-17,1.00,7822.33
2015-06-18,1.00,33803.60
2015-06-19,1.00,10983.20
2015-06-20,1.00,2423.98
2015-06-21,1.00,370.88
2015-06-22,1.00,403.56
2015-06-23,1.00,19972.70
2015-06-24,1.00,633456.00
2015-06-25,1.00,63844.80
2015-06-26,1.00,3128.97
2015-06-27,1.00,668536.00
2015-06-28,1.00,409.44
2015-06-29,1.00,3121.38
2015-06-30,1.00,472575.00
2015-07-01,1.00,110325.00
2015-07-02,1.00,1436.39
2015-07-03,1.00,14061.30
2015-07-04,1.00,100.02
2015-07-05,1.00,8107.28
2015-07-06,1.00,652389.00
2015-07-07,1.00,34946.10
2015-07-08,1.00,1632.58
2015-07-09,1.00,516.18
2015-07-10,1.00,1065.39
2015-07-11,1.00,1621.98
2015-07-12,1.00,3187.45
2015-07-13,1.00,242557.00
2015-07-14,1.00,31441.70
2015-07-15,1.00,1131.72
2015-07-17,1.00,665897.00
2015-07-18,1.00,50531.80
2015-07-19,1.00,2708.94
2015-07-20,1.00,658.78
2015-07-21,1.00,5796.42
2015-07-22,1.00,506.55
2015-07-23,1.00,4233.58
2015-07-24,1.00,32139.80
2015-07-25,1.00,521.34
2015-07-26,1.00,25.00
2015-07-27,1.00,2250.85
2015-07-28,1.00,50302.70
2015-07-29,1.00,404935.00
2015-07-30,1.00,28284.70
2015-07-31,1.00,110.28
2015-08-01,1.00,1765.74
2015-08-02,1.00,4443.42
2015-08-03,1.00,258279.00
2015-08-04,1.00,4182.05
2015-08-05,1.00,11013.30
2015-08-06,1.00,15978.70
2015-08-07,1.00,189055.00
2015-08-08,1.00,2229.17
2015-08-09,1.00,656.90
2015-08-10,1.00,152265.00
2015-08-11,1.00,526.41
2015-08-12,1.00,1602.34
2015-08-13,1.00,1521.35
2015-08-14,1.00,2346.28
2015-08-15,1.00,4232.47
2015-08-16,1.00,1643.82
2015-08-17,1.00,20941.60
2015-08-18,1.00,65245.50
2015-08-19,1.00,157207.00
2015-08-20,1.00,2840.85
2015-08-21,1.00,5956.62
2015-08-22,1.00,1296.33
2015-08-23,1.00,2274.50
2015-08-24,1.00,73636.80
2015-08-25,1.00,433444.00
2015-08-26,1.00,1643.05
2015-08-27,1.00,2445.86
2015-08-28,1.00,6212.61
2015-08-29,1.00,1207.48
2015-08-30,1.00,3319.17
2015-08-31,1.00,7021.69
2015-09-01,1.00,6135.62
2015-09-02,1.00,1710.04
2015-09-03,1.00,889.63
2015-09-04,1.00,672.13
2015-09-05,1.00,13466.80
2015-09-06,1.00,17950.50
2015-09-07,1.00,22316.00
2015-09-08,1.00,2962.65
2015-09-09,1.00,106307.00
2015-09-10,1.00,9264.55
2015-09-11,1.00,29212.80
2015-09-12,1.00,4331.17
2015-09-13,1.00,695.70
2015-09-14,1.00,227.95
2015-09-15,1.00,71981.80
2015-09-16,1.00,52821.10
2015-09-17,1.00,28268.00
2015-09-18,1.00,15623.50
2015-09-19,1.00,820.97
2015-09-20,1.00,112.48
2015-09-21,1.00,9470.17
2015-09-22,1.00,19998.30
2015-09-23,1.00,5751.47
2015-09-24,1.00,103489.00
2015-09-25,1.00,608.16
2015-09-26,1.00,528.23
2015-09-27,1.00,1997.58
2015-09-28,1.00,394927.00
2015-09-29,1.00,419071.00
2015-09-30,1.00,142982.00
2015-10-01,1.00,178994.00
2015-10-02,1.00,14618.80
2015-10-03,1.00,368077.00
2015-10-04,1.00,3458.96
2015-10-05,1.00,17653.60
2015-10-06,1.00,55914.00
2015-10-07,1.00,8055.11
2015-10-08,1.00,5197.36
2015-10-09,1.00,1830.04
2015-10-10,1.00,116.65
2015-10-11,1.00,47945.80
2015-10-12,1.00,25978.20
2015-10-13,1.00,122426.00
2015-10-14,1.00,10377.50
2015-10-15,1.00,98815.40
2015-10-16,1.00,37796.20
2015-10-17,1.00,3696.64
2015-10-18,1.00,3108.15
2015-10-19,1.00,6588.85
2015-10-20,1.00,30334.80
2015-10-21,1.00,42472.40
2015-10-22,1.00,76060.70
2015-10-23,1.00,115132.00
2015-10-24,1.00,73679.30
2015-10-25,1.00,191596.00
2015-10-26,1.00,40692.40
2015-10-27,1.00,51399.60
2015-10-28,1.00,64487.80
2015-10-29,1.00,227491.00
2015-10-30,1.00,26909.10
2015-10-31,1.00,26367.30
2015-11-01,1.00,4505.60
2015-11-02,1.00,15844.50
2015-11-03,1.00,90103.00
2015-11-04,1.00,181021.00
2015-11-05,1.00,226537.00
2015-11-06,1.00,372540.00
2015-11-07,1.00,999501.00
2015-11-08,1.00,143097.00
2015-11-09,1.00,18567.80
2015-11-10,1.00,14721.60
2015-11-11,1.00,34324.00
2015-11-12,1.00,34993.60
2015-11-13,1.00,49616.80
2015-11-14,1.00,28995.30
2015-11-15,1.00,33393.20
2015-11-16,1.00,10552.90
2015-11-17,1.00,25692.90
2015-11-18,1.00,6058.27
2015-11-19,1.00,18890.50
2015-11-20,1.00,10002.50
2015-11-21,1.00,6455.95
2015-11-22,1.00,5443.27
2015-11-23,1.00,25499.00
2015-11-24,1.00,11121.30
2015-11-25,1.00,6874.56
2015-11-26,1.00,20800.00
2015-11-27,1.00,8252.79
2015-11-28,1.00,22508.30
2015-11-29,1.00,134696.00
2015-11-30,1.00,659724.00
2015-12-01,1.00,129772.00
2015-12-02,1.00,195747.00
2015-12-03,1.00,141337.00
2015-12-04,1.00,7737.74
2015-12-05,1.00,21567.90
2015-12-06,1.00,220143.00
2015-12-07,1.00,11223.90
2015-12-08,1.00,9503.96
2015-12-09,1.00,17421.20
2015-12-10,1.00,23195.00
2015-12-11,1.00,102209.00
2015-12-12,1.00,39260.70
2015-12-13,1.00,13796.10
2015-12-14,1.00,8173.27
2015-12-15,1.00,22209.60
2015-12-16,1.00,143155.00
2015-12-17,1.00,2225.72
2015-12-18,1.00,6492.99
2015-12-19,1.00,23202.00
2015-12-20,1.00,16099.50
2015-12-21,1.00,18913.00
2015-12-22,1.00,10915.10
2015-12-23,1.00,66710.60
2015-12-24,1.00,91078.40
2015-12-25,1.00,618112.00
2015-12-26,1.00,15304.50
2015-12-27,1.00,26317.20
2015-12-28,1.00,82322.60
2015-12-29,1.00,14115.00
2015-12-30,1.00,7389.05
