blockNumber	transactionHash	status	gasUsed	cumulativeGasUsed	effectiveGasPrice
8965903	0x38776514d3905ffc9abc3d135f03bdea670840f42231d823a2cf0d93227c6eed	1	99801	7299391	15000000000
8965905	0xc2cf1b896a5841f701b1cd9edb70259a2a0bfd3dcb87cc34274f73abc9ff0170	1	99793	3821051	15000000000
8970422	0x1f23bdc43110d80dab5db0583354181734ade47454378755b6ff196ff8383f10	1	99673	235304	15000000000
8970422	0x239afd28d1575f7e4255b2c27a82a38ee61aa9c0579f2cbbee9cbd34d1e96207	1	99673	334977	15000000000
8970426	0x5068a155b13f75a59ca201ebd9412de2884a46f54d55bfde071653a35725e681	1	99793	519865	15000000000
8970426	0xf991f88ee4f7b7bd2468740772c745629177a8b73b2191fe6f989a6603974d76	1	99793	420072	15000000000
8974287	0xf445de819e8a2ccac4985889e59078f175553de83ec74c707d917af6fe237355	1	99673	204808	39000000000
8974289	0x78caaa78500ccd5b920ef66a242f9135f9a4f7d7e263a5c27e212b6d399d00e7	1	99793	648727	39000000000
8974562	0xb6840d746d86792526547520389715d354fb4f78fb6b8ea95a766eaa614da4d1	1	99801	1248343	30000000000
8974562	0xc1682f86c2e94044e3b05328a4bb5deb3a84a055a7b59fa2b6075eec6cd25b6b	1	99865	1348208	30000000000
8974572	0x4b82567df4c4fef3b1ff1364777309adf33586a8dfc0a7afb82784743073fe16	1	99857	706435	30000000000
8974572	0xea1435fcaf7a84879e75aed7e0f5ec37da0b10ac471cc8586c87469782f25003	1	99921	806356	30000000000
8974573	0xc8f5bac6290bd0c97c30cdc78920f7c9a0874d905d44cd7f946347b90423a137	1	99801	3134554	30000000000
8974596	0xa3b51d849d07758b9790017438ad0823fba8a81fe5b4a32570e8ec01b9be8139	1	99801	668159	30000000000
8974596	0xd5ee274fb24cb659f39af4204b71a785f637333ef5e66c06100e7e8bcb5620d5	1	84921	568358	30000000000
8974602	0x40b3304927cb06ff95c5b26683a78625071898f3d64e3782c24adcbb64725368	1	99929	888870	30000000000
8974602	0xf939f5797f8f665a4b0bebf8b2db6f3f6a73a6d78bfee6a9d8d2b0af0e273e51	1	84921	788941	30000000000
8974605	0xf098821e902ef676d4a66ebf82005d69bfc7e918ba3b363114a36ba2bf5e4ec2	1	84921	1417984	30000000000
8975316	0xc32bb3d4e78c317b7e34f37711f808ea5f6189bd35c3f137ab75744807e13bdd	1	99673	899514	36000000000
8975317	0x6e95945ab40dbe43d1dc377ec94ae89b1ef30f4acb5c82b584ddf80a8baf89c1	1	99793	2033507	36000000000
8975548	0x616270a7d14011c469f0d074c011ce2dc53318681c023ae6eb87287dbc532faa	1	99673	3343486	30000000000
8975548	0x6633619c4746cfbc7a1129670ad48134fbe42287f645ea89a14798e79ee34be4	1	99737	3443223	30000000000
8975550	0x152bdb2c256b985c7e64b350c4679537e01b7366c3e6c57403705ff1c5b05237	1	99793	1447340	30000000000
8975550	0x1fd4e99e69c256941334b31a10a75a4017e07b1bb379a98e70969d2c7832a2ea	1	99729	1547069	30000000000
8975552	0x9bfbea92a1d0ea3e5994912e6b642cff2c1df44b91c6d9e94671f4c767167adf	1	84793	324881	25000000000
8975552	0xeec4036ed524500abc899837552cf92d1873ad54b2ca9e5c9ca21080278a4649	1	84729	409610	25000000000
8975558	0xb235869b9533647a860ee669be75ee451c7e3a773e7038b8167018e63657d126	1	99737	1641604	30000000000
8975560	0xfbf7d3d31389eb7f77e9e7d913941574b183876b59ac62743c294735d446deb8	1	99729	1556469	30000000000
8975562	0x41f6af5c04074810e97e5e737eebd77c217b57f181a15180c9bb9865f0b290a6	1	84729	1510343	25000000000
8975935	0xbcd9e5872ed04580de3ad37a03d489a04be5beed1d6542de502c78d12890704a	1	99737	228668	30000000000
8975937	0x3b4e06cffd4f7fb9b0485e8fb6d758720cc208e7ea1bd765be8498a1a00210f6	1	99793	309793	30000000000
8976340	0x9392343d02909100f4023cd5f68961918303d5eab65ec25bcfb8ce45d298ebc7	1	99801	2266865	16200000000
8976343	0x504d411f9d71c953fcd8b70d42cfc72584e59a1928437349e174d731570625b2	1	99793	850556	25000000000
8976345	0xd6abf6f52b3d9cd658a550d65d8481e4d9b3948cad3d3256f9b37227fe60254a	1	84921	615816	16200000000
8976347	0xe61b26222fc3ce3cb43185d3afddc0dcdc893c1a31f511e2a423cc8102ddfd35	1	84921	597386	25000000000
8976349	0xf150e8dd44525c8f19a7bac35169c8a0f11cdd69f44be5fcf84f0267835ce23f	1	99801	365630	16200000000
8976351	0xc21e48f6f8cbfb3dcd44efcfd49dcd04369a73730d25b7f77cd63bc080faf142	1	84921	1283505	16200000000
8976368	0x45ac11ab9cc536d8556c0c1e0c86f90240fef1d85d7014fe22782726929e5597	1	99801	2914752	16500000000
8976384	0x93098979907dd1ea5428382794426fe4884cf7beb558fc9ec01722b57cb389b4	1	99929	2019732	16500000000
8976390	0x81cc367e542a7e674931dccfe1f8d01da290bd1a3e56b2abf45235037340ca60	1	84921	2035033	16500000000
8976390	0xedf1aa7a8c74f686cb52a89200e39b897a1d9fb3d55677fd3375d79923a469a4	1	84921	1950112	16500000000
8979320	0xb56691b3f713d99dadfc618144e6c788cf9f33520abc4392202ab33b32e7e98e	1	99801	6087716	34650000000
8979320	0xc7521d9bfd25242a19b493ed5123d4c94e5928a3f106a83b83e0eab4fd072763	1	99801	5987915	34650000000
8979320	0xee0e5e41a1737eb6d66b794ea36e0eb40cccf97d05b858b36ae75450669cb64e	1	99673	5888114	34650000000
8979322	0x01733b1723416d76455582ac2e644e31e9c97afb1782a4352f30f3d0635c1e59	1	99793	6317890	34650000000
8979322	0x2273070d47f6f6a5b38da68d1f8112a5327bc1a3aa34988893a1071a6b480910	1	99793	6417683	34650000000
8979322	0x35cde44d7e453f60f5f901cd5249dc75fa9ae281d3673fb63c70d11b2899d749	1	99793	6517476	34650000000
8979802	0xa9d1cad274eadf89a3ef5572b96568babb663a3c587ae43093cc519858011d33	1	99673	811562	42000000000
8979804	0x4ce00cc6c1f822cc96036ef1a2b50febd810b087db5bebab25aef77a085ae29b	1	99793	7930952	42000000000
8979806	0xd95904b23238c6b8ec5d2abb607cf324112ebad641f2e4a42aa508e7fdaa6b63	1	84793	8923582	25000000000
8980068	0x6c0463982c96408d83fbea631ab8f645171a273252abcd2b52dcfe5a8af1dc14	1	99801	449449	58500000000
8980068	0xe8479d9c1f83815fe628c2d03d4667b990c9c17a20254f7d724bb3fdbf54866d	1	99929	349648	58500000000
8980069	0xa919929b363487a4d22fa8cb357486060b2580b20411433dcc4edd1c43c1a68e	1	99921	174322	58500000000
8980069	0xaf56d80f14817af39d3c5c0d27505f19c345d63eb1602ec7e4a230da914e0052	1	99793	274115	58500000000
8980073	0x1517ec993a93c93c1338d8bf400be699eb6b70290ad29667a749183e9b6ce9d2	1	84793	7005338	25000000000
8980073	0xb7d368e9b74af7d6cf4a0d490c809f803a0b0712f6e467962b589cd343aa5581	1	84921	6920545	25000000000
8980331	0x129bdc978f52d2fc31959a31ed91fc61b79918463f6c033036144a7e39d52430	1	99737	1651051	45000000000
8980331	0x2dd2d6a3d1508560b50e3c5e6aa7122f892ef905d2b915e9f00e7839135a060d	1	99673	2049679	45000000000
8980331	0x3824b9d0cb46a7eafbac3394761cbba8f07943d7fddb1c5858e3264a3b836deb	1	99673	853475	45000000000
8980331	0x3a2c4c2a2b52db3147180ce67f21f21fb412b69c5418afcc16e096c6402b011a	1	99801	1551314	45000000000
8980331	0x6719b81ca824b2f1389c9741e8dc44ca0a66a2c0a386b14a2fdf13c8be82ac6f	1	99673	1451513	45000000000
8980331	0x75854b2b5964a0cd7eae58aee2f8bca44700a0d3e6439f7914897b4a05ffaa41	1	99673	2149352	45000000000
8980331	0x77fe53314595c0e2a9c2635339a2ff7d6abd2918c2b95b88d9aa41c2aad11919	1	99673	2249025	45000000000
8980331	0x7ade87bec5e5ca74c9ef52968ca25e9ca043410c83338fb5bc3911c3099ec64a	1	99609	1850333	45000000000
8980331	0x92876995838c388f76ad2e52f7b5c3e558857b005564c8bfeab6ee1518ececaa	1	99673	953148	45000000000
8980331	0xa793dccaa986a4fbec7eb9d4ddaafc8a9111cd4abc087aa080a1466e9b383cf2	1	99673	1351840	45000000000
8980331	0xb0e5ccbb7f0e90d56a80ebda5fd367109f31cf901d958d3f7bb6681a5a8cc275	1	99673	1152494	45000000000
8980331	0xc0fe05da145f0b2c61de55c5de80db1b856e120d9da9b165ff80976bc29ba5d4	1	99673	1750724	45000000000
