Date,Price,Volume
2015-08-07,2.77,164329.00
2015-08-08,0.75,674188.00
2015-08-09,0.70,532170.00
2015-08-10,0.71,405283.00
2015-08-11,1.07,1463100.00
2015-08-12,1.22,2150620.00
2015-08-13,1.83,4068680.00
2015-08-14,1.83,4637030.00
2015-08-15,1.69,2554360.00
2015-08-16,1.57,3550790.00
2015-08-17,1.20,1942830.00
2015-08-18,1.09,1485680.00
2015-08-19,1.26,1486240.00
2015-08-20,1.46,2843760.00
2015-08-21,1.40,2020970.00
2015-08-22,1.38,948310.00
2015-08-23,1.35,1589300.00
2015-08-24,1.23,924920.00
2015-08-25,1.14,1307180.00
2015-08-26,1.16,1056750.00
2015-08-27,1.15,686662.00
2015-08-28,1.19,721872.00
2015-08-29,1.18,375377.00
2015-08-30,1.32,1337650.00
2015-08-31,1.36,1447180.00
2015-09-01,1.35,778862.00
2015-09-02,1.29,883769.00
2015-09-03,1.26,702991.00
2015-09-04,1.27,474391.00
2015-09-05,1.34,448453.00
2015-09-06,1.30,491968.00
2015-09-07,1.25,489014.00
2015-09-08,1.24,427892.00
2015-09-09,1.21,366748.00
2015-09-10,1.17,662782.00
2015-09-11,0.98,1942600.00
2015-09-12,1.04,772430.00
2015-09-13,0.94,644138.00
2015-09-14,0.88,741085.00
2015-09-15,0.94,703390.00
2015-09-16,0.91,615593.00
2015-09-17,0.87,897940.00
2015-09-18,0.85,484622.00
2015-09-19,0.88,386988.00
2015-09-20,0.94,508314.00
2015-09-21,0.92,424039.00
2015-09-22,0.90,487914.00
2015-09-23,0.89,200541.00
2015-09-24,0.81,842505.00
2015-09-25,0.74,903457.00
2015-09-26,0.79,369620.00
2015-09-27,0.72,413801.00
2015-09-28,0.58,1320890.00
2015-09-29,0.66,913992.00
2015-09-30,0.74,619926.00
2015-10-01,0.69,596084.00
2015-10-02,0.68,219318.00
2015-10-03,0.69,163326.00
2015-10-04,0.67,103497.00
2015-10-05,0.63,234263.00
2015-10-06,0.65,262674.00
2015-10-07,0.61,218327.00
2015-10-08,0.62,310266.00
2015-10-09,0.65,386420.00
2015-10-10,0.63,141555.00
2015-10-11,0.63,102128.00
2015-10-12,0.63,109567.00
2015-10-13,0.61,303044.00
2015-10-14,0.52,971664.00
2015-10-15,0.56,371022.00
2015-10-16,0.54,249891.00
2015-10-17,0.55,313860.00
2015-10-18,0.52,133690.00
2015-10-19,0.49,243742.00
2015-10-20,0.43,383921.00
2015-10-21,0.45,609085.00
2015-10-22,0.57,924822.00
2015-10-23,0.54,878822.00
2015-10-24,0.56,258356.00
2015-10-25,0.62,635384.00
2015-10-26,0.73,1089120.00
2015-10-27,0.87,1846370.00
2015-10-28,1.00,2373050.00
