Date,Price,Volume
2013-08-04,0.01,0.00
2013-08-05,0.01,0.00
2013-08-06,0.00,0.00
2013-08-07,0.00,0.00
2013-08-08,0.00,0.00
2013-08-09,0.00,0.00
2013-08-10,0.00,0.00
2013-08-11,0.00,0.00
2013-08-12,0.00,0.00
2013-08-13,0.00,0.00
2013-08-14,0.00,0.00
2013-08-15,0.00,0.00
2013-08-16,0.00,0.00
2013-08-17,0.01,0.00
2013-08-18,0.01,0.00
2013-08-19,0.01,0.00
2013-08-20,0.01,0.00
2013-08-21,0.01,0.00
2013-08-22,0.01,0.00
2013-08-23,0.01,0.00
2013-08-24,0.01,0.00
2013-08-25,0.01,0.00
2013-08-26,0.01,0.00
2013-08-27,0.01,0.00
2013-08-28,0.01,0.00
2013-08-29,0.01,0.00
2013-08-30,0.01,0.00
2013-08-31,0.01,0.00
2013-09-01,0.01,0.00
2013-09-02,0.01,0.00
2013-09-03,0.01,0.00
2013-09-04,0.01,0.00
2013-09-05,0.01,0.00
2013-09-06,0.01,0.00
2013-09-07,0.01,0.00
2013-09-08,0.01,0.00
2013-09-09,0.01,0.00
2013-09-10,0.01,0.00
2013-09-11,0.01,0.00
2013-09-12,0.01,0.00
2013-09-13,0.01,0.00
2013-09-14,0.01,0.00
2013-09-15,0.01,0.00
2013-09-16,0.01,0.00
2013-09-17,0.01,0.00
2013-09-18,0.01,0.00
2013-09-19,0.01,0.00
2013-09-20,0.01,0.00
2013-09-21,0.01,0.00
2013-09-22,0.01,0.00
2013-09-23,0.01,0.00
2013-09-24,0.01,0.00
2013-09-25,0.01,0.00
2013-09-26,0.01,0.00
2013-09-27,0.01,0.00
2013-09-28,0.01,0.00
2013-09-29,0.01,0.00
2013-09-30,0.01,0.00
2013-10-01,0.01,0.00
2013-10-02,0.01,0.00
2013-10-03,0.01,0.00
2013-10-04,0.01,0.00
2013-10-05,0.01,0.00
2013-10-06,0.01,0.00
2013-10-07,0.01,0.00
2013-10-08,0.01,0.00
2013-10-09,0.01,0.00
2013-10-10,0.01,0.00
2013-10-11,0.01,0.00
2013-10-12,0.01,0.00
2013-10-13,0.01,0.00
2013-10-14,0.01,0.00
2013-10-15,0.01,0.00
2013-10-16,0.01,0.00
2013-10-17,0.01,0.00
2013-10-18,0.01,0.00
2013-10-19,0.01,0.00
2013-10-20,0.01,0.00
2013-10-21,0.01,0.00
2013-10-22,0.01,0.00
2013-10-23,0.01,0.00
2013-10-24,0.01,0.00
2013-10-25,0.01,0.00
2013-10-26,0.01,0.00
2013-10-27,0.01,0.00
2013-10-28,0.01,0.00
2013-10-29,0.01,0.00
2013-10-30,0.01,0.00
2013-10-31,0.01,0.00
2013-11-01,0.01,0.00
2013-11-02,0.01,0.00
2013-11-03,0.01,0.00
2013-11-04,0.01,0.00
2013-11-05,0.01,0.00
2013-11-06,0.01,0.00
2013-11-07,0.01,0.00
2013-11-08,0.01,0.00
2013-11-09,0.01,0.00
2013-11-10,0.01,0.00
2013-11-11,0.01,0.00
2013-11-12,0.01,0.00
2013-11-13,0.01,0.00
2013-11-14,0.01,0.00
2013-11-15,0.01,0.00
2013-11-16,0.01,0.00
2013-11-17,0.01,0.00
2013-11-18,0.01,0.00
2013-11-19,0.01,0.00
2013-11-20,0.01,0.00
2013-11-21,0.01,0.00
2013-11-22,0.01,0.00
2013-11-23,0.01,0.00
2013-11-24,0.01,0.00
2013-11-25,0.02,0.00
2013-11-26,0.03,0.00
2013-11-27,0.02,0.00
2013-11-28,0.03,0.00
2013-11-29,0.03,0.00
2013-11-30,0.04,0.00
2013-12-01,0.05,0.00
2013-12-02,0.06,0.00
2013-12-03,0.05,0.00
2013-12-04,0.06,0.00
2013-12-05,0.06,0.00
2013-12-06,0.04,0.00
2013-12-07,0.03,0.00
2013-12-08,0.04,0.00
2013-12-09,0.04,0.00
2013-12-10,0.04,0.00
2013-12-11,0.04,0.00
2013-12-12,0.03,0.00
2013-12-13,0.04,0.00
2013-12-14,0.03,0.00
2013-12-15,0.03,0.00
2013-12-16,0.02,0.00
2013-12-17,0.02,0.00
2013-12-18,0.02,0.00
2013-12-19,0.02,0.00
2013-12-20,0.02,0.00
2013-12-21,0.02,0.00
2013-12-22,0.02,0.00
2013-12-23,0.02,0.00
2013-12-24,0.02,0.00
2013-12-25,0.02,0.00
2013-12-26,0.02,0.00
2013-12-27,0.03,148422.00
2013-12-28,0.03,143404.00
2013-12-29,0.03,56771.60
2013-12-30,0.03,72634.40
2013-12-31,0.03,63620.60
2014-01-01,0.03,58533.40
2014-01-02,0.03,128914.00
2014-01-03,0.03,89779.80
2014-01-04,0.03,60973.40
2014-01-05,0.03,200438.00
2014-01-06,0.03,184478.00
2014-01-07,0.02,73760.70
2014-01-08,0.02,82940.90
2014-01-09,0.02,100357.00
2014-01-10,0.02,64110.70
2014-01-11,0.02,70390.40
2014-01-12,0.02,42580.70
2014-01-13,0.02,15328.00
2014-01-14,0.02,41916.10
2014-01-15,0.02,25188.90
2014-01-16,0.02,58850.90
2014-01-17,0.02,72572.40
2014-01-18,0.02,21242.30
2014-01-19,0.02,69842.30
2014-01-20,0.02,67712.00
2014-01-21,0.02,82453.00
2014-01-23,0.02,106755.00
2014-01-24,0.02,136622.00
2014-01-25,0.02,75029.00
2014-01-26,0.02,77411.20
2014-01-27,0.02,124685.00
2014-01-28,0.02,100169.00
2014-01-29,0.02,73133.80
2014-01-30,0.02,90862.40
2014-01-31,0.02,98528.70
2014-02-01,0.02,123949.00
2014-02-02,0.02,112301.00
2014-02-03,0.02,74738.80
2014-02-04,0.02,75453.10
2014-02-05,0.02,54085.00
2014-02-06,0.02,97666.80
2014-02-07,0.02,153029.00
2014-02-08,0.02,54013.30
2014-02-09,0.02,64662.40
2014-02-10,0.02,38466.20
2014-02-11,0.02,63155.40
2014-02-12,0.02,67225.90
2014-02-13,0.02,64398.70
2014-02-14,0.02,126825.00
2014-02-15,0.02,82830.90
2014-02-16,0.02,80121.70
2014-02-17,0.02,110878.00
2014-02-18,0.02,152124.00
2014-02-19,0.02,106281.00
2014-02-20,0.01,217393.00
2014-02-21,0.02,124321.00
2014-02-22,0.02,88005.50
2014-02-23,0.02,103944.00
2014-02-24,0.01,141564.00
2014-02-25,0.01,293736.00
2014-02-26,0.01,70978.90
2014-02-27,0.01,101022.00
2014-02-28,0.01,166863.00
2014-03-01,0.01,111575.00
2014-03-02,0.01,62982.00
2014-03-03,0.02,127717.00
2014-03-04,0.02,179747.00
2014-03-05,0.02,122347.00
2014-03-06,0.02,142277.00
2014-03-07,0.02,169553.00
